,property_type
968,apartment
969,apartment
970,apartment
971,apartment
972,apartment
973,apartment
974,apartment
975,apartment
976,apartment
977,apartment
978,apartment
979,apartment
980,apartment
981,apartment
982,apartment
983,apartment
984,apartment
985,apartment
986,apartment
987,apartment
988,apartment
989,house
990,house
991,house
992,house
993,apartment
994,apartment
995,apartment
996,apartment
997,house
998,house
999,apartment
1000,apartment
1001,apartment
1002,apartment
1003,apartment
1004,apartment
1005,apartment
1006,apartment
1007,apartment
1008,apartment
1009,apartment
1010,house
1011,apartment
1012,apartment
1013,apartment
1014,apartment
1015,apartment
1016,apartment
1017,apartment
1018,apartment
1019,apartment
1020,apartment
1021,apartment
1022,apartment
1023,house
1024,apartment
1025,apartment
1026,apartment
1027,apartment
1028,apartment
1029,apartment
1030,apartment
1031,apartment
1032,apartment
1033,apartment
1034,apartment
1035,apartment
1036,apartment
1037,apartment
1038,apartment
1039,apartment
1040,apartment
1041,apartment
1042,house
1043,apartment
1044,apartment
1045,apartment
1046,apartment
1047,apartment
1048,apartment
1049,apartment
1050,apartment
1051,apartment
1052,apartment
1053,apartment
1054,apartment
1055,apartment
1056,apartment
1057,apartment
1058,apartment
1059,apartment
1060,apartment
1061,apartment
1062,house
1063,apartment
1064,apartment
1065,apartment
1066,apartment
1067,apartment
1068,apartment
1069,apartment
1070,apartment
1071,apartment
1072,apartment
1073,apartment
1074,apartment
1075,apartment
1076,apartment
1077,apartment
1078,apartment
1079,house
1080,apartment
1081,apartment
1082,apartment
1083,apartment
1084,apartment
1085,apartment
1086,apartment
1087,apartment
1088,apartment
1089,apartment
1090,apartment
1091,apartment
1092,apartment
1093,apartment
1094,apartment
1095,apartment
1096,apartment
1097,apartment
1098,apartment
1099,apartment
1100,apartment
1101,apartment
1102,house
1103,apartment
1104,apartment
1105,apartment
1106,apartment
1107,apartment
1108,apartment
1109,apartment
1110,apartment
1111,apartment
1112,apartment
1113,apartment
1114,apartment
1115,apartment
1116,apartment
1117,apartment
1118,house
1119,apartment
1120,apartment
1121,apartment
1122,apartment
1123,apartment
1124,apartment
1125,apartment
1126,apartment
1127,apartment
1128,apartment
1129,apartment
1130,apartment
1131,apartment
1132,apartment
1133,apartment
1134,apartment
1135,apartment
1136,apartment
1137,apartment
1138,apartment
1139,apartment
1140,house
1141,apartment
1142,apartment
1143,apartment
1144,apartment
1145,apartment
1146,apartment
1147,apartment
1148,apartment
1149,apartment
1150,apartment
1151,apartment
1152,apartment
1153,apartment
1154,apartment
1155,apartment
1156,apartment
1157,apartment
1158,apartment
1159,apartment
1160,apartment
1161,apartment
1162,apartment
1163,apartment
1164,apartment
1165,apartment
1166,apartment
1167,apartment
1168,apartment
1169,apartment
1170,apartment
1171,apartment
1172,apartment
1173,apartment
1174,apartment
1175,apartment
1176,apartment
1177,house
1178,apartment
1179,apartment
1180,apartment
1181,apartment
1182,apartment
1183,apartment
1184,apartment
1185,apartment
1186,apartment
1187,apartment
1188,apartment
1189,apartment
1190,house
1191,apartment
1192,apartment
1193,apartment
1194,apartment
1195,apartment
1196,apartment
1197,apartment
1198,house
1199,apartment
1200,house
1201,apartment
1202,apartment
1203,apartment
1204,apartment
1205,apartment
1206,house
1207,apartment
1208,apartment
1209,apartment
1210,apartment
1211,house
1212,apartment
1213,apartment
1214,house
1215,apartment
1216,apartment
1217,apartment
1218,apartment
1219,apartment
1220,apartment
1221,apartment
1222,apartment
1223,apartment
1224,apartment
1225,apartment
1226,apartment
1227,house
1228,apartment
1229,apartment
1230,apartment
1231,apartment
1232,apartment
1233,apartment
1234,apartment
1235,apartment
1236,apartment
1237,apartment
1238,apartment
1239,apartment
1240,apartment
1241,apartment
1242,apartment
1243,apartment
1244,apartment
1245,apartment
1246,apartment
1247,apartment
1248,house
1249,apartment
1250,apartment
1251,apartment
1252,apartment
1253,apartment
1254,apartment
1255,apartment
1256,apartment
1257,apartment
1258,apartment
1259,apartment
1260,apartment
1261,apartment
1262,apartment
1263,apartment
1264,apartment
1265,apartment
1266,apartment
1267,apartment
1268,apartment
1269,apartment
1270,apartment
1271,apartment
1272,apartment
1273,apartment
1274,apartment
1275,apartment
1276,apartment
1277,apartment
1278,apartment
1279,apartment
1280,apartment
1281,apartment
1282,apartment
1283,apartment
1284,apartment
1285,apartment
1286,apartment
1287,apartment
1288,apartment
1289,apartment
1290,apartment
1291,apartment
1292,apartment
1293,apartment
1294,apartment
1295,apartment
1296,apartment
1297,apartment
1298,apartment
1299,apartment
1300,apartment
1301,apartment
1302,apartment
1303,house
1304,apartment
1305,apartment
1306,apartment
1307,apartment
1308,apartment
1309,apartment
1310,apartment
1311,apartment
1312,apartment
1313,apartment
1314,apartment
1315,apartment
1316,apartment
1317,house
1318,apartment
1319,apartment
1320,house
1321,house
1322,apartment
1323,house
1324,apartment
1325,apartment
1326,apartment
1327,apartment
1328,apartment
1329,house
1330,apartment
1331,apartment
1332,apartment
1333,apartment
1334,apartment
1335,apartment
1336,apartment
1337,apartment
1338,apartment
1339,apartment
1340,apartment
1341,apartment
1342,apartment
1343,apartment
1344,apartment
1345,apartment
1346,house
1347,house
1348,apartment
1349,house
1350,apartment
1351,house
1352,apartment
1353,apartment
1354,apartment
1355,apartment
1356,apartment
1357,apartment
1358,house
1359,apartment
1360,apartment
1361,apartment
1362,apartment
1363,apartment
1364,apartment
1365,apartment
1366,apartment
1367,apartment
1368,apartment
1369,apartment
1370,apartment
1371,apartment
1372,apartment
1373,apartment
1374,apartment
1375,apartment
1376,apartment
1377,apartment
1378,apartment
1379,apartment
1380,apartment
1381,apartment
1382,apartment
1383,apartment
1384,apartment
1385,apartment
1386,apartment
1387,apartment
1388,apartment
1389,apartment
1390,apartment
1391,apartment
1392,apartment
1393,apartment
1394,apartment
1395,apartment
1396,apartment
1397,apartment
1398,apartment
1399,apartment
1400,apartment
1401,apartment
1402,apartment
1403,apartment
1404,apartment
1405,apartment
1406,apartment
1407,apartment
1408,apartment
1409,house
1410,apartment
1411,house
1412,apartment
1413,apartment
1414,apartment
1415,apartment
1416,apartment
1417,apartment
1418,apartment
1419,apartment
1420,apartment
1421,apartment
1422,apartment
1423,apartment
1424,apartment
1425,apartment
1426,apartment
1427,apartment
1428,apartment
1429,apartment
1430,apartment
1431,apartment
1432,apartment
1433,apartment
1434,house
1435,apartment
1436,apartment
1437,apartment
1438,apartment
1439,apartment
1440,apartment
1441,apartment
1442,apartment
1443,apartment
1444,apartment
1445,apartment
1446,apartment
1447,house
1448,apartment
1449,apartment
1450,apartment
1451,apartment
1452,apartment
1453,apartment
1454,house
1455,apartment
1456,house
1457,apartment
1458,apartment
1459,apartment
1460,apartment
1461,apartment
1462,apartment
1463,apartment
1464,apartment
1465,apartment
1466,apartment
1467,apartment
1468,apartment
1469,apartment
1470,apartment
1471,house
1472,apartment
1473,apartment
1474,apartment
1475,apartment
1476,apartment
1477,apartment
1478,apartment
1479,apartment
1480,apartment
1481,apartment
1482,apartment
1483,apartment
1484,house
1485,apartment
1486,apartment
1487,apartment
1488,apartment
1489,apartment
1490,apartment
1491,apartment
1492,apartment
1493,apartment
1494,house
1495,apartment
1496,house
1497,apartment
1498,apartment
1499,apartment
1500,apartment
1501,apartment
1502,apartment
1503,apartment
1504,apartment
1505,apartment
1506,apartment
1507,apartment
1508,apartment
1509,apartment
1510,apartment
1511,apartment
1512,apartment
1513,apartment
1514,apartment
1515,apartment
1516,apartment
1517,apartment
1518,apartment
1519,apartment
1520,apartment
1521,apartment
1522,apartment
1523,apartment
1524,house
1525,house
1526,apartment
1527,apartment
1528,apartment
1529,apartment
1530,apartment
1531,apartment
1532,apartment
1533,apartment
1534,apartment
1535,apartment
1536,house
1537,apartment
1538,apartment
1539,apartment
1540,apartment
1541,apartment
1542,apartment
1543,apartment
1544,apartment
1545,apartment
1546,apartment
1547,apartment
1548,apartment
1549,apartment
1550,apartment
1551,apartment
1552,apartment
1553,apartment
1554,apartment
1555,apartment
1556,apartment
1557,apartment
1558,apartment
1559,apartment
1560,apartment
1561,apartment
1562,apartment
1563,apartment
1564,apartment
1565,apartment
1566,apartment
1567,apartment
1568,apartment
1569,apartment
1570,apartment
1571,apartment
1572,apartment
1573,apartment
1574,apartment
1575,apartment
1576,apartment
1577,apartment
1578,apartment
1579,apartment
1580,apartment
1581,apartment
1582,apartment
1583,apartment
1584,apartment
1585,apartment
1586,apartment
1587,apartment
1588,apartment
1589,apartment
1590,apartment
1591,apartment
1592,apartment
1593,apartment
1594,apartment
1595,apartment
1596,apartment
1597,apartment
1598,house
1599,house
1600,apartment
1601,apartment
1602,apartment
1603,apartment
1604,apartment
1605,apartment
1606,house
1607,apartment
1608,apartment
1609,house
1610,apartment
1611,apartment
1612,apartment
1613,apartment
1614,house
1615,apartment
1616,apartment
1617,house
1618,apartment
1619,apartment
1620,apartment
1621,house
1622,house
1623,apartment
1624,apartment
1625,apartment
1626,apartment
1627,apartment
1628,apartment
1629,apartment
1630,apartment
1631,apartment
1632,apartment
1633,apartment
1634,apartment
1635,apartment
1636,apartment
1637,apartment
1638,house
1639,house
1640,apartment
1641,apartment
1642,apartment
1643,apartment
1644,apartment
1645,apartment
1646,apartment
1647,apartment
1648,house
1649,apartment
1650,apartment
1651,apartment
1652,apartment
1653,apartment
1654,apartment
1655,apartment
1656,apartment
1657,apartment
1658,apartment
1659,apartment
1660,apartment
1661,apartment
1662,apartment
1663,house
1664,apartment
1665,apartment
1666,apartment
1667,apartment
1668,house
1669,apartment
1670,apartment
1671,apartment
1672,apartment
1673,apartment
1674,apartment
1675,apartment
