,place_with_parent_names
229,|Brasil|Bahia|Lauro de Freitas|
230,|Brasil|Bahia|Camaçari|
231,|Brasil|Bahia|Lauro de Freitas|Vilas do Atlântico|
232,|Brasil|Bahia|Salvador|
233,|Brasil|Bahia|Salvador|Rio Vermelho|
234,|Brasil|Bahia|Salvador|Pituba|
235,|Brasil|Bahia|Salvador|Ondina|
236,|Brasil|Bahia|Salvador|Stiep|
237,|Brasil|Bahia|Salvador|
238,|Brasil|Bahia|Salvador|
239,|Brasil|Bahia|Salvador|Imbuí|
240,|Brasil|Bahia|Salvador|Trobogy|
241,|Brasil|Bahia|Salvador|Horto Florestal|
242,|Brasil|Bahia|Salvador|
243,|Brasil|Bahia|Salvador|Paralela|
244,|Brasil|Bahia|Salvador|Paralela|
245,|Brasil|Bahia|Salvador|Paralela|
246,|Brasil|Bahia|Salvador|Alphaville I|
247,|Brasil|Bahia|Salvador|
248,|Brasil|Bahia|Salvador|Caminho das Árvores|
249,|Brasil|Bahia|Salvador|Caminho das Árvores|
250,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|
251,|Brasil|Bahia|Salvador|
252,|Brasil|Bahia|Lauro de Freitas|
253,|Brasil|Bahia|Salvador|Caminho das Árvores|
254,|Brasil|Bahia|Salvador|Rio Vermelho|
255,|Brasil|Bahia|Salvador|
256,|Brasil|Bahia|Salvador|
257,|Brasil|Bahia|Salvador|
258,|Brasil|Bahia|Salvador|
259,|Brasil|Bahia|Salvador|
260,|Brasil|Bahia|Salvador|Campo Grande|
261,|Brasil|Bahia|Salvador|
262,|Brasil|Bahia|Salvador|Candeal|
263,|Brasil|Bahia|Salvador|Candeal|
264,|Brasil|Bahia|Salvador|Ondina|
265,|Brasil|Bahia|Salvador|Pituba|
266,|Brasil|Bahia|Salvador|Caminho das Árvores|
267,|Brasil|Bahia|Salvador|Pituba|
268,|Brasil|Bahia|Salvador|Caminho das Árvores|
269,|Brasil|Bahia|Salvador|Campo Grande|
270,|Brasil|Bahia|Salvador|Itaigara|
271,|Brasil|Bahia|Salvador|Campo Grande|
272,|Brasil|Bahia|Salvador|Canela|
273,|Brasil|Bahia|Salvador|Jardim Apipema|
274,|Brasil|Bahia|Salvador|Stiep|
275,|Brasil|Bahia|Salvador|
276,|Brasil|Bahia|Salvador|Canela|
277,|Brasil|Bahia|Lauro de Freitas|
278,|Brasil|Bahia|Salvador|Itaigara|
279,|Brasil|Bahia|Salvador|Alphaville I|
280,|Brasil|Bahia|Salvador|
281,|Brasil|Bahia|Salvador|Parque Bela Vista|
282,|Brasil|Bahia|Salvador|
283,|Brasil|Bahia|Salvador|
284,|Brasil|Bahia|Salvador|Patamares|
285,|Brasil|Bahia|Salvador|Patamares|
286,|Brasil|Bahia|Salvador|Jardim Apipema|
287,|Brasil|Bahia|Salvador|Pituba|
288,|Brasil|Bahia|Salvador|Jaguaribe|
289,|Brasil|Bahia|Salvador|
290,|Brasil|Bahia|Salvador|Ondina|
291,|Brasil|Bahia|Salvador|
292,|Brasil|Bahia|Salvador|Costa Azul|
293,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|
294,|Brasil|Bahia|Salvador|Parque Bela Vista|
295,|Brasil|Bahia|Salvador|Candeal|
296,|Brasil|Bahia|Salvador|Caminho das Árvores|
297,|Brasil|Bahia|Salvador|Pituba|
298,|Brasil|Bahia|Salvador|Costa Azul|
299,|Brasil|Bahia|Salvador|Rio Vermelho|
300,|Brasil|Bahia|Salvador|Pituba|
301,|Brasil|Bahia|Salvador|Barra|
302,|Brasil|Bahia|Salvador|Boca do Rio|
303,|Brasil|Bahia|Salvador|Horto Florestal|
304,|Brasil|Bahia|Salvador|
305,|Brasil|Bahia|Salvador|Engenho Velho de Brotas|
306,|Brasil|Bahia|Salvador|Horto Florestal|
307,|Brasil|Bahia|Salvador|Patamares|
308,|Brasil|Bahia|Salvador|Patamares|
309,|Brasil|Bahia|Salvador|
310,|Brasil|Bahia|Salvador|Pituba|
311,|Brasil|Bahia|Salvador|
312,|Brasil|Bahia|Salvador|Costa Azul|
313,|Brasil|Bahia|Salvador|Candeal|
314,|Brasil|Bahia|Salvador|
315,|Brasil|Bahia|Salvador|
316,|Brasil|Bahia|Salvador|
317,|Brasil|Bahia|Salvador|
318,|Brasil|Bahia|Salvador|Itapuã|
319,|Brasil|Bahia|Salvador|Jardim Apipema|
320,|Brasil|Bahia|Salvador|Caminho das Árvores|
321,|Brasil|Bahia|Salvador|
322,|Brasil|Bahia|Salvador|Patamares|
323,|Brasil|Bahia|Lauro de Freitas|Jardim Aeroporto|
324,|Brasil|Bahia|Salvador|Paralela|
325,|Brasil|Bahia|Salvador|
326,|Brasil|Bahia|Salvador|Patamares|
327,|Brasil|Bahia|Salvador|Caminho das Árvores|
328,|Brasil|Bahia|Salvador|Pituba|
329,|Brasil|Bahia|Salvador|Graça|
330,|Brasil|Bahia|Salvador|Pituba|
331,|Brasil|Bahia|Salvador|
332,|Brasil|Bahia|Salvador|Rio Vermelho|
333,|Brasil|Bahia|Salvador|Rio Vermelho|
334,|Brasil|Bahia|Salvador|Barra|
335,|Brasil|Bahia|Salvador|Pituba|
336,|Brasil|Bahia|Salvador|Barra|
337,|Brasil|Bahia|Salvador|Pituba|
338,|Brasil|Bahia|Salvador|Barra|
339,|Brasil|Bahia|Salvador|Horto Florestal|
340,|Brasil|Bahia|Salvador|Horto Florestal|
341,|Brasil|Bahia|Salvador|Garcia|
342,|Brasil|Bahia|Salvador|Garcia|
343,|Brasil|Bahia|Salvador|Costa Azul|
344,|Brasil|Bahia|Salvador|Paralela|
345,|Brasil|Bahia|Salvador|Imbuí|
346,|Brasil|Bahia|Salvador|Costa Azul|
